"bsn",Parkplatz für Schwerbehinderte vorhanden,Rollstuhlgerechter Aufzug,Rollstuhlgerechtes WC,Zugänglich für Rollstuhlbenutzer,Beratungsstelle für Hörbehinderte,Beratungsstelle für Sprachbehinderte
"07S01",,1,1,1,,
"07S03",,,1,1,,
"07S04",1,1,1,1,,
"07Y01",1,,,,,
"07Y02",,,,,,
"07Y03",,1,1,1,,
"07Y04",,,,,,
"07Y05",,,,,,
"07Y06",,,,,,
"07Y07",,,,,,
"07Y08",,1,1,1,,
"07Y09",1,,1,1,,
"08A01",,,,,,
"08A02",,,,,,
"08A04",,,,,,
"08A05",,,,,,
"08B01",1,1,1,1,,
"08B02",1,1,1,1,,
"08B02",1,1,1,1,,
"08B02",1,1,1,1,,
"08B02",1,1,1,1,,
"08B02",1,1,1,1,,
"08B02",1,1,1,1,,
"08B04",1,1,1,1,,
"08B04",1,1,1,1,,
"08B04",1,1,1,1,,
"08B04",1,1,1,1,,
"08B04",1,1,1,1,,
"08B04",1,1,1,1,,
"08B05",,,,,,
"08B05",,,,,,
"08E02",,,,,,
"08E04",,,,,,
"08G01",,,,,,1
"08G02",,,,,,
"08G03",,,1,1,,
"08G05",1,,,,,
"08G06",,,1,,,
"08G07",,,,,,
"08G08",,1,1,1,,
"08G09",1,1,1,1,,
"08G10",,,,,,
"08G11",,,,1,,
"08G12",,,,,,
"08G13",1,,1,1,,
"08G14",,,,,,
"08G15",,,,,,
"08G16",1,,,,,
"08G17",,,,,,
"08G18",,,1,1,,
"08G19",1,1,,1,,
"08G20",1,,1,1,,
"08G21",,,,,,
"08G22",,,,1,,
"08G23",,1,1,1,,
"08G24",,,,,,
"08G25",,,,,,
"08G26",,,,1,,
"08G27",,,1,1,,
"08G28",,,1,1,,
"08G29",1,,,,,
"08G30",,,,,,
"08G31",1,,,1,,
"08G32",,,1,1,,
"08G33",1,,1,1,,
"08G34",1,,,1,,
"08G35",,1,1,,,
"08G36",1,1,1,1,,
"08G37",,1,1,1,,
"08K01",,,,,,
"08K02",,,,,,
"08K03",1,1,1,1,,
"08K04",1,1,1,,,
"08K05",,1,1,1,,
"08K06",,,,,,
"08K07",,,,1,,
"08K08",,,,,,
"08K09",,,,,,
"08K10",,,,,,
"08K10",,,,,,
"08K11",,,,,,
"08K12",,1,1,1,,
"08P01",,1,1,,,
"08P02",,,,,,
"08P03",,,,,,
"08P04",,,,,,
"08P04",,,,,,
"08P06",,,,,,
"08P08",,,,,,
"08P09",,,,,,
"08P10",,,,,,
"08P12",,,,,,
"08S01",,,,,,
"08S03",1,1,,1,,
"08S04",,,,,,
"08S05",,,,1,,
"08S06",,1,1,1,,
"08S07",1,1,1,1,,
"08S08",1,1,1,1,,1
"08S09",1,,,1,,
"08Y01",1,,,1,,
"08Y02",,,,,,
"08Y03",1,1,1,1,,
"08Y04",,,,,,
"08Y05",1,1,1,1,,
"08Y06",1,1,1,1,,
"09A01",,,,,,
"09A02",,,,,,
"09A03",,,,,,
"09A04",,,,,,
"09A05",1,,1,1,,
"09A06",,,,,,
"09A07",1,1,1,1,,
"09B03",,1,1,1,,
"09B03",,1,1,1,,
"09B03",,1,1,1,,
"09B03",,1,1,1,,
"09B03",,1,1,1,,
"09E01",,,,,,
"09E05",,,,,,
"09E06",,,,,,
"09E07",,,,,,
"09G01",1,,,,,
"09G03",,,,,,
"09G04",,,,,,
"09G05",,,,,,
"09G06",1,,,,,
"09G07",,,,,,
"09G09",1,,,,,
"09G10",,,,,,
"09G11",,,,,,
"09G13",,,,,,
"09G14",1,,,,,
"09G15",1,1,1,1,,
"09G16",,,,,,
