bsn,courses
10Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Musik, Physik, Spanisch"
10Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik"
10Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik, Politische Weltkunde"
10Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik"
10Y11,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
11A02,
11A06,
11A07,
11A08,
11B01,
11B01,
11B01,
11B02,
11B02,
11B02,
11B02,
11B02,
11B03,
11B03,
11B03,
11B03,
11E05,
11E06,
11E08,
11E09,
11E11,
11E12,
11E13,
11E14,
11G01,
11G02,
11G03,
11G05,
11G06,
11G07,
11G08,
11G09,
11G10,
11G11,
11G12,
11G13,
11G14,
11G15,
11G16,
11G17,
11G18,
11G19,
11G21,
11G22,
11G23,
11G25,
11G26,
11G28,
11G29,
11K01,
11K02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Mathematik, Physik, Russisch"
11K04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik"
11K05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik, Politische Weltkunde"
11K06,
11K07,
11K08,
11K09,
11K10,
11K11,
11P01,
11P02,
11P02,
11P02,
11P02,
11P03,
11P04,
11P06,
11P06,
11P06,
11P08,
11P08,
11P09,
11P14,
11P14,
11P15,
11S01,
11S02,
11S04,
11S05,
11S06,
11S07,
11S07,
11S08,
11S10,
11S12,
11Y02,"Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Physik"
11Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik"
11Y09,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
11Y10,
11Y11,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Physik"
12A01,
12A02,
12A05,
12A06,
12A07,
12A08,
12A09,
12B01,
12B01,
12B01,
12B01,
12B02,
12B02,
12B02,
12B02,
12B02,"Biotechnologie, Ernährungs-/Lebensmittelwissenschaft, Gestaltungs- und Medientechnik"
12B02,
12B03,
12B03,
12B03,
12B03,
12B03,
12E01,
12E03,
12E04,
12E05,
12E06,
12G01,
12G02,
12G03,
12G04,
12G05,
12G06,
12G07,
12G09,
12G10,
12G11,
