"bsn","district","address_id","latitude","longitude","street","plz","district_id"
"04P02","Charlottenburg-Wilmersdorf","405","52.51602","13.25603","Olympische Str. 23","14052","13"
"04P03","Charlottenburg-Wilmersdorf","406","52.50209","13.25939","Waldschulallee 73","14055","13"
"04P04","Charlottenburg-Wilmersdorf","407","52.51128","13.27507","Ahornallee 33","14050","13"
"04P05","Charlottenburg-Wilmersdorf","408","52.51771","13.31551","Guerickestr. 4-6","10587","13"
"04P08","Charlottenburg-Wilmersdorf","409","52.51606","13.30544","Haubachstr. 8","10585","13"
"04P09","Charlottenburg-Wilmersdorf","409","52.51606","13.30544","Haubachstr. 8","10585","13"
"04P10","Charlottenburg-Wilmersdorf","410","52.49619","13.32118","Düsseldorfer Str. 13","10719","13"
"04P11","Charlottenburg-Wilmersdorf","411","52.4859","13.2928","Salzbrunner Str. 41","14193","13"
"04P12","Charlottenburg-Wilmersdorf","412","52.48936","13.30472","Eisenzahnstr. 37","10709","13"
"04P15","Charlottenburg-Wilmersdorf","413","52.52445","13.30899","Nordhauser Str. 30","10589","13"
"04P18","Charlottenburg-Wilmersdorf","414","52.48922","13.32985","Bundesallee 35","10717","13"
"04P21","Charlottenburg-Wilmersdorf","415","52.48889","13.33148","Bundesallee 184-185","10717","13"
"04P22","Charlottenburg-Wilmersdorf","416","52.5187","13.311","Alt-Lietzow 31","10587","13"
"04P23","Charlottenburg-Wilmersdorf","417","52.52466","13.258","Spandauer Damm 220","14052","13"
"04P24","Charlottenburg-Wilmersdorf","418","52.5095204","13.2633757","Badenallee 31-32","14052","13"
"04P25","Charlottenburg-Wilmersdorf","419","52.4965514","13.3297731","Meierottostr. 8-9","10719","13"
"04P27","Charlottenburg-Wilmersdorf","420","52.51861","13.27976","Spandauer Damm 130 ","14050","13"
"04P34","Charlottenburg-Wilmersdorf","421","52.49673","13.29524","Joachim-Friedrich-Str. 48","10711","13"
"04P35","Charlottenburg-Wilmersdorf","422","52.4715","13.30755","Schlangenbader Str.31","14197","13"
"04P36","Charlottenburg-Wilmersdorf","423","52.5223997","13.3236117","Hallerstr. 3-6","10587","13"
"04P37","Charlottenburg-Wilmersdorf","424","52.50963","13.30602","Wilmersdorfer Str. 126-127","10627","13"
"04S01","Charlottenburg-Wilmersdorf","425",,,"Nehringstr. 9","14059","13"
"04S02","Charlottenburg-Wilmersdorf","426","52.51489","13.30717","Richard-Wagner-Str. 30","10585","13"
"04S03","Charlottenburg-Wilmersdorf","427","52.49773","13.2649","Waldschulallee 31","14055","13"
"04S04","Charlottenburg-Wilmersdorf","428","52.49693","13.26373","Maikäferpfad 30","14055","13"
"04S05","Charlottenburg-Wilmersdorf","429","52.4989","13.26508","Waldschulallee 29","14055","13"
"04S06","Charlottenburg-Wilmersdorf","430","52.48448","13.31606","Mannheimer Str. 21-22","10713","13"
"04S07","Charlottenburg-Wilmersdorf","431","52.48869","13.3181","Gieselerstr. 4","10713","13"
"04Y01","Charlottenburg-Wilmersdorf","432","52.51098","13.32182","Schillerstr. 125-127","10625","13"
"04Y02","Charlottenburg-Wilmersdorf","433","52.50343","13.25701","Waldschulallee 95","14055","13"
"04Y03","Charlottenburg-Wilmersdorf","434","52.5023","13.31237","Sybelstr. 2","10629","13"
"04Y04","Charlottenburg-Wilmersdorf","435","52.52888","13.3022","Olbersstr. 38","10589","13"
"04Y05","Charlottenburg-Wilmersdorf","436","52.5106633","13.2579324","Westendallee 45-46","14052","13"
"04Y06","Charlottenburg-Wilmersdorf","437","52.51103","13.26722","Bayernallee 4","14052","13"
"04Y08","Charlottenburg-Wilmersdorf","438","52.4851157","13.2759307","Lassenstr. 16-20","14193","13"
"04Y09","Charlottenburg-Wilmersdorf","439","52.49143","13.28135","Herbertstr. 2-6","14193","13"
"04Y10","Charlottenburg-Wilmersdorf","440","52.4801727","13.3244616","Weimarische Str. 21","10715","13"
"04Y11","Charlottenburg-Wilmersdorf","441","52.48759","13.3225","Gasteiner Str. 23","10717","13"
"05A01","Spandau","442","52.5457431","13.1748128","Remscheider Str. 3/7","13583","14"
"05A02","Spandau","442","52.5457431","13.1748128","Remscheider Str. 3/7","13583","14"
"05A04","Spandau","442","52.5457431","13.1748128","Remscheider Str. 3/7","13583","14"
"05A03","Spandau","443","52.538131","13.2017902","Moritzstr. 17","13597","14"
"05B01","Spandau","444","52.54416","13.23008","Goldbeckweg 8-14","13599","14"
"05B02","Spandau","445","52.53943","13.2418","Nonnendammallee 140-143","13599","14"
"05E01","Spandau","446","52.52309","13.191","Wilhelmstr. 15","13595","14"
"05E02","Spandau","447","52.46338","13.16419","Kladower Damm 221","14089","14"
"05E03","Spandau","448","52.567834","13.191662","Schönwalder Allee 26","13587","14"
"05P03","Spandau","448","52.567834","13.191662","Schönwalder Allee 26","13587","14"
"05P04","Spandau","448","52.567834","13.191662","Schönwalder Allee 26","13587","14"
"05G01","Spandau","449","52.5304","13.20672","Grunewaldstr. 8","13597","14"
"05G02","Spandau","450","52.5584233","13.1991462","Gaismannshofer Weg 2","13587","14"
