bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
01G42,Jahrgangsstufe 05,Regelklasse,4,85,39,46,17,6,11,59,21,38
01G42,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,1,10,4,6,1,0,1,5,2,3
01G42,Jahrgangsstufe 06,Regelklasse,4,86,42,44,15,8,7,58,30,28
01G42,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,91,50,41,7,4,3,53,32,21
01G42,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,86,43,43,15,8,7,74,37,37
01G42,Schulanfangsphase,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,11,5,6,11,5,6,11,5,6
01G43,Jahrgangsstufe 03,Regelklasse,2,45,22,23,16,10,6,34,17,17
01G43,Jahrgangsstufe 04,Regelklasse,3,59,37,22,20,10,10,50,33,17
01G43,Jahrgangsstufe 05,Regelklasse,2,46,24,22,12,9,3,41,23,18
01G43,Jahrgangsstufe 06,Regelklasse,3,65,40,25,32,19,13,52,31,21
01G43,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,8,167,91,76,70,43,27,140,81,59
01G44,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,8,169,82,87,42,19,23,150,76,74
01G44,Jahrgangsstufe 04,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,8,4,4,8,4,4,8,4,4
01G44,Jahrgangsstufe 04,Regelklasse,2,40,20,20,9,3,6,35,16,19
01G44,Jahrgangsstufe 05,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,6,1,5,6,1,5,6,1,5
01G44,Jahrgangsstufe 05,Regelklasse,3,52,29,23,20,8,12,47,24,23
01G44,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,8,3,5,8,3,5,8,3,5
01G44,Jahrgangsstufe 06,Regelklasse,3,53,29,24,15,9,6,46,26,20
01G45,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,12,282,149,133,65,25,40,250,130,120
01G45,Jahrgangsstufe 04,Jahrgangsübergreifende Lerngruppe,1,24,10,14,4,1,3,23,10,13
01G45,Jahrgangsstufe 04,Regelklasse,4,87,44,43,22,8,14,76,37,39
01G45,Jahrgangsstufe 05,Regelklasse,4,81,35,46,23,9,14,67,32,35
01G45,Jahrgangsstufe 06,Regelklasse,4,90,47,43,26,14,12,78,39,39
01G46,Jahrgangsstufe 03,Regelklasse,3,80,43,37,6,4,2,26,15,11
01G46,Jahrgangsstufe 04,Regelklasse,3,67,37,30,10,5,5,25,13,12
01G46,Jahrgangsstufe 05,Regelklasse,2,34,20,14,2,1,1,17,9,8
01G46,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,9,198,89,109,20,10,10,89,41,48
01G47,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,7,157,83,74,19,9,10,109,59,50
01G47,Jahrgangsstufe 03,Regelklasse,1,21,13,8,1,1,0,17,10,7
